,commune,codepostal,carburants,latitude,longitude,nombre,liste_complete_carburants,departement
8604,NOIRéTABLE,42440,"['Gazole', 'SP98', 'SP95']",45.8301789287,3.7545071848,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8605,Firminy,42700,"['E10', 'Gazole', 'SP95']",45.39591,4.29132,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8606,UNIEUX,42240,"['E10', 'Gazole', 'SP98']",45.3935173764,4.27048192178,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8607,Saint-Martin-la-Plaine,42800,['Gazole'],45.53514,4.6075,1,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8608,Les Salles,42440,"['E10', 'Gazole', 'SP98', 'GPLc']",45.84055,3.78392,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8609,Le Puy-en-Velay,43000,"['Gazole', 'SP95']",45.04889,3.89412,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8610,Yssingeaux,43200,"['Gazole', 'SP98', 'SP95']",45.14645,4.10918,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8611,SURY-LE-COMTAL,42450,"['Gazole', 'SP98', 'SP95']",45.54052,4.18072,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8613,CHAMBOEUF,42330,"['E10', 'Gazole', 'SP98']",45.57448,4.32921,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8614,MONISTROL-SUR-LOIRE,43120,"['Gazole', 'SP98', 'SP95']",45.2907044699,4.16960855867,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8615,Saint-Symphorien-de-Lay,42470,"['E10', 'Gazole', 'SP98']",45.94656,4.22051,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8616,Saint-Chamond,42400,"['E10', 'Gazole', 'SP98', 'SP95']",45.46206,4.49345,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8617,SAINT-JUST-LA-PENDUE,42540,"['Gazole', 'SP95']",45.89271,4.23877,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8618,Néronde,42510,"['E10', 'Gazole', 'SP98', 'GPLc']",45.8385,4.23643,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8619,SAINT-HAON-LE-CHâTEL,42370,"['Gazole', 'SP98', 'SP95']",46.0633736367,3.92029264244,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8620,Saint-Marcellin-en-Forez,42680,"['Gazole', 'SP95']",45.50012,4.16996,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8621,SAINT-JEAN-BONNEFONDS,42650,"['E10', 'Gazole', 'GPLc']",45.44295,4.46161,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8622,CHAVANAY,42410,"['E10', 'Gazole', 'SP95']",45.4269468192,4.74170033752,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8623,RIVE-DE-GIER,42800,"['Gazole', 'SP98', 'SP95']",45.52641,4.6085,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8624,Magneux-Haute-Rive,42600,"['E10', 'Gazole', 'SP98']",45.66958,4.17238,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8625,La Fouillouse,42480,"['E10', 'Gazole', 'SP98', 'SP95']",45.4967,4.31905,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8626,Panissières,42360,"['Gazole', 'SP98', 'SP95']",45.79234,4.35406,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8627,LE PERTUIS,43200,"['Gazole', 'SP98', 'SP95']",45.097429207,4.05909483827,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8628,Saint-Michel-sur-Rhône,42410,"['Gazole', 'SP98', 'SP95']",45.44802,4.72087,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8630,BALBIGNY,42510,"['Gazole', 'SP95']",45.82457,4.17705,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8631,PAULHAGUET,43230,"['Gazole', 'SP98', 'SP95']",45.2087954502,3.50687903911,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8632,Yssingeaux,43200,"['Gazole', 'SP98', 'SP95']",45.14398,4.11589,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8633,Magneux-Haute-Rive,42600,"['E10', 'Gazole', 'SP98', 'GPLc']",45.67935,4.15647,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8634,RETOURNAC,43130,"['Gazole', 'SP98', 'SP95']",45.211168187,4.03019857653,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8635,LORETTE,42420,"['Gazole', 'SP98', 'SP95']",45.5098836274,4.57444809609,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8636,LA FOUILLOUSE,42480,"['E10', 'Gazole', 'SP98']",45.5235004975,4.28708495534,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8637,BALBIGNY,42510,"['E10', 'Gazole', 'SP98', 'SP95']",45.8102,4.19681,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8638,Saugues,43170,"['E10', 'Gazole', 'SP98']",44.95871,3.54987,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
